0,Player,Bumrah,Shami,Kuldeep,Starc,Santner,Mohit,Cummins,Rabada,Nortje,Vivek,Chahal,Archer,Ashwin,Siraj,Arshdeep,Saini
1,1,63.5,42.25,48,58.915,38.75,4.25,36.75,49.75,57,18.75,48,15.5,43,10,74.25,-2.5
2,2,20.75,35.25,46.75,17.5,17.5,77,-1,10.25,23.75,44,43.5,46.25,50,4,22.75,17
3,3,24,21.5,20.25,48.75,18.25,48.75,21.25,59.25,84,34.5,16,5,15.75,72.25,94.5,16.75
4,4,42.25,71.5,26.25,42,64.165,21.5,17.5,57.915,22,21,75.25,66,-2.25,25.5,42.75,11.75
5,5,67.5,100,49.25,50.25,36,58.75,79.25,12.5,16.5,60,100,43.75,93,43,44,77
