0,Match,Shakib,Rashid,Maxwell,Jadeja,Jansen,Rachin,Hasranga,Pandya,Holder,Zampa,Head,Green
1,1,24.62,57.75,39.33333333,30.83,55.25,55.83333333,14.25,47.01,40.70333333,38,34.58,42.45333333
2,2,42.87,60.04333333,12.25,19.98666667,19.75,28.37,26.24333333,61.07333333,40.46333333,44,38.81,49.94
3,3,14,66.91,61.25,33.41666667,44.03666667,41.5,38,40.5,18.75,31.75,-4.25,61.46
4,4,35.61,59.2,34.81,42.09,28.75,44.63,31.75,30.16,52.83333333,50.75,7.78,55.25333333
5,5,46.58333333,27.5,51.14,22.75,43.94,47.41666667,23.75,53.36,58.58333333,27,49.91666667,42.65
